dataset,question_id,original_index,source_row_index,source_question_id,source_split,correct_label,correct_text,n_options
mmlu_pro,mmlu_pro_10024,0,,10024,test,I,5.40MeV,10
mmlu_pro,mmlu_pro_5088,1,,5088,test,E,19%,10
mmlu_pro,mmlu_pro_7070,2,,7070,test,D,The amount by which total output increases due to the addition of one unit of a given factor while the amount used of other factors of production remains unchanged,10
mmlu_pro,mmlu_pro_556,3,,556,test,G,"(i) 585, (ii) Yes",10
mmlu_pro,mmlu_pro_1496,4,,1496,test,C,"inadmissible, because the attorney-client privilege prevents such a breach of confidential communications.",10
mmlu_pro,mmlu_pro_3320,5,,3320,test,D,"Skinner box is used in operant conditioning to reward or punish a behavior, thereby increasing or decreasing the probability of its occurrence.",10
mmlu_pro,mmlu_pro_473,6,,473,test,D,3 to 2,10
mmlu_pro,mmlu_pro_6570,7,,6570,test,A,"leucine, methionine and threonine",9
mmlu_pro,mmlu_pro_7562,8,,7562,test,E,lowered its official reserve position.,10
mmlu_pro,mmlu_pro_2854,9,,2854,test,A,"Combustion releases energy rapidly as heat which would destroy a cell. In contrast, aerobic respiration releases energy sequentially in small packets, transforming and storing it in the form of ATP, preventing damage to the cell.",10
mmlu_pro,mmlu_pro_8486,10,,8486,test,H,-1,10
mmlu_pro,mmlu_pro_11489,11,,11489,test,D,2.57 × 10^-6 voltsrms and 3.15 × 10^-6 voltsrms,10
mmlu_pro,mmlu_pro_2503,12,,2503,test,J,content validity,10
mmlu_pro,mmlu_pro_688,13,,688,test,C,Escapist realm.,10
mmlu_pro,mmlu_pro_5136,14,,5136,test,D,Research and evaluation,10
mmlu_pro,mmlu_pro_8930,15,,8930,test,J,0.592,10
mmlu_pro,mmlu_pro_3079,16,,3079,test,H,"Bacteria and yeast grow quickly, inexpensively, in a small space and have a high probability of mutation. Prokaryotes are haploid, making single inactivation more likely. Yeast are eukaryotic, closely related to multicellular animals and plants, and can be grown in either the haploid or diploid state.",10
mmlu_pro,mmlu_pro_12113,17,,12113,test,G,0.126 min,10
mmlu_pro,mmlu_pro_10343,18,,10343,test,A,$2 \sqrt{2} \sin \frac{\pi}{2 \sqrt{2}}$,10
mmlu_pro,mmlu_pro_8802,19,,8802,test,C,6,10
mmlu_pro,mmlu_pro_783,20,,783,test,H,$29.60,10
mmlu_pro,mmlu_pro_5874,21,,5874,test,J,identifying any problems with the question wording and routing,10
mmlu_pro,mmlu_pro_7511,22,,7511,test,B,Unit root process,10
