model,model_key,dataset,plausibility_stratum,mean_p_clean_wrong,mean_p_reset_wrong,mean_hysteresis_gap,positive_hysteresis_rate,ordinary_reset_wrong_follow_rate,n_items
Gemma2-2B,gemma2_2b,mmlu_pro,Low,0.0003593041225350912,0.7073488856145348,0.7069895814919998,0.8562874251497006,0.7065868263473054,167
Gemma2-2B,gemma2_2b,mmlu_pro,Mid,0.008094078058709302,0.8618913830222965,0.8537973049635872,0.8795180722891566,0.8674698795180723,166
Gemma2-2B,gemma2_2b,mmlu_pro,High,0.28786613578101805,0.9294815983226945,0.6416154625416765,0.9281437125748503,0.9341317365269461,167
Gemma2-2B,gemma2_2b,truthfulqa_mc,Low,2.4247955233825928e-05,0.40740609715123854,0.40738184919600473,0.7964071856287425,0.41317365269461076,167
Gemma2-2B,gemma2_2b,truthfulqa_mc,Mid,0.0006933785054893687,0.6238448699328213,0.623151491427332,0.7168674698795181,0.6265060240963856,166
Gemma2-2B,gemma2_2b,truthfulqa_mc,High,0.4376277659781343,0.8514451496470534,0.4138173836689193,0.8383233532934131,0.8562874251497006,167
Gemma2-9B,gemma2_9b,mmlu_pro,Low,3.374367748514171e-05,0.07153768600260285,0.07150394232511771,0.5748502994011976,0.0718562874251497,167
Gemma2-9B,gemma2_9b,mmlu_pro,Mid,0.0013235292059453486,0.3222212113497345,0.32089768214378916,0.5060240963855421,0.3253012048192771,166
Gemma2-9B,gemma2_9b,mmlu_pro,High,0.23187485839570174,0.6616460975272966,0.42977123913159493,0.7065868263473054,0.6646706586826348,167
Gemma2-9B,gemma2_9b,truthfulqa_mc,Low,1.569777903037089e-05,0.011981011667024161,0.011965313887993791,0.11377245508982035,0.011976047904191617,167
Gemma2-9B,gemma2_9b,truthfulqa_mc,Mid,0.00013830350145192745,0.018150843805800766,0.01801254030434884,0.13855421686746988,0.018072289156626505,166
Gemma2-9B,gemma2_9b,truthfulqa_mc,High,0.25980929480104276,0.25759292781601145,-0.0022163669850313017,0.281437125748503,0.25748502994011974,167
Llama3.1-8B,llama31_8b,mmlu_pro,Low,0.001463643312558938,0.09226397043139101,0.09080032711883206,0.8143712574850299,0.07784431137724551,167
Llama3.1-8B,llama31_8b,mmlu_pro,Mid,0.029879972184136655,0.29828773378807044,0.2684077616039338,0.8012048192771084,0.3855421686746988,166
Llama3.1-8B,llama31_8b,mmlu_pro,High,0.22370293912614678,0.4105384244531719,0.18683548532702512,0.7365269461077845,0.5149700598802395,167
Llama3.1-8B,llama31_8b,truthfulqa_mc,Low,7.402790828326223e-05,0.003056388945659608,0.0029823610373763457,0.9341317365269461,0.0,167
Llama3.1-8B,llama31_8b,truthfulqa_mc,Mid,0.004399507692735825,0.04354067948548766,0.03914117179275184,0.4879518072289157,0.024096385542168676,166
Llama3.1-8B,llama31_8b,truthfulqa_mc,High,0.37262107456237803,0.1582499059039157,-0.21437116865846237,0.24550898203592814,0.12574850299401197,167
Mistral-7B-v0.3,mistral7b_v03,mmlu_pro,Low,8.448785786266882e-08,0.5723727398452692,0.5723726553574112,1.0,0.592814371257485,167
Mistral-7B-v0.3,mistral7b_v03,mmlu_pro,Mid,8.72337843569974e-05,0.7942506220610059,0.7941633882766489,0.963855421686747,0.7891566265060241,166
Mistral-7B-v0.3,mistral7b_v03,mmlu_pro,High,0.27160572540532263,0.8835120678845065,0.6119063424791839,0.844311377245509,0.8862275449101796,167
Mistral-7B-v0.3,mistral7b_v03,truthfulqa_mc,Low,4.1029456667662236e-09,0.13301577893698358,0.1330157748340379,1.0,0.1377245508982036,167
Mistral-7B-v0.3,mistral7b_v03,truthfulqa_mc,Mid,9.481111457761681e-08,0.3381002807923975,0.33810018598128294,1.0,0.35542168674698793,166
Mistral-7B-v0.3,mistral7b_v03,truthfulqa_mc,High,0.31416664176711395,0.5846755585641933,0.27050891679707934,0.6586826347305389,0.6107784431137725,167
Qwen2.5-1.5B,qwen25_15b,mmlu_pro,Low,3.903138522996295e-05,0.551864703695825,0.551825672310595,0.9520958083832335,0.5868263473053892,167
Qwen2.5-1.5B,qwen25_15b,mmlu_pro,Mid,0.0031974685292474087,0.7432018676777373,0.7400043991484899,0.9096385542168675,0.7710843373493976,166
