model_key,model,dataset,condition,n,wrong_reduction,wrong_reduction_ci_low,wrong_reduction_ci_high,semantic_wrong_minus_old_letter_follow,semantic_wrong_minus_old_letter_follow_ci_low,semantic_wrong_minus_old_letter_follow_ci_high,bootstrap_samples,bootstrap_seed
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,current_question_refresh_reset,500,-0.008350027490605223,-0.018540678916560197,0.0012547320827055262,,,,2000,12345
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,option_relabel_no_shuffle_reset,500,-0.0047332003708367475,-0.013870746370651109,0.0038644871654161046,,,,2000,12345
mistral7b_v03,Mistral-7B-v0.3,mmlu_pro,option_relabel_shuffle_reset,500,0.04178101991267459,0.011059974408797248,0.0731941837700199,0.752,0.698,0.8,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,current_question_refresh_reset,500,-0.03643099406701376,-0.052032775360827725,-0.02144793903653976,,,,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,option_relabel_no_shuffle_reset,500,-0.043740349033613,-0.05985489051236962,-0.02843570125680499,,,,2000,12345
mistral7b_v03,Mistral-7B-v0.3,truthfulqa_mc,option_relabel_shuffle_reset,500,-0.10941589852314194,-0.14822952521237132,-0.0742927341871463,0.588,0.524,0.646,2000,12345
qwen25_14b,Qwen2.5-14B,mmlu_pro,current_question_refresh_reset,500,-0.09563949948658945,-0.11984515268353119,-0.07214921813266226,,,,2000,12345
qwen25_14b,Qwen2.5-14B,mmlu_pro,option_relabel_no_shuffle_reset,500,-0.11407412260856414,-0.1403720457854474,-0.08842104873074183,,,,2000,12345
qwen25_14b,Qwen2.5-14B,mmlu_pro,option_relabel_shuffle_reset,500,-0.09185003166805532,-0.12422026883926947,-0.05978239504666534,0.568,0.514,0.618,2000,12345
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,current_question_refresh_reset,500,0.041037254068017406,0.025650551876885343,0.05705905440311235,,,,2000,12345
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,option_relabel_no_shuffle_reset,500,0.03738370803808742,0.022017577253496012,0.05368692506900402,,,,2000,12345
qwen25_15b,Qwen2.5-1.5B,mmlu_pro,option_relabel_shuffle_reset,500,0.3253132837702876,0.2877169170733325,0.3638601177723994,0.444,0.382,0.502,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,current_question_refresh_reset,500,-0.02564885273687822,-0.042408216397612185,-0.008175236982053668,,,,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,option_relabel_no_shuffle_reset,500,-0.032133217941945125,-0.05073269148371204,-0.01464188526596735,,,,2000,12345
qwen25_15b,Qwen2.5-1.5B,truthfulqa_mc,option_relabel_shuffle_reset,500,0.23669198632259744,0.19606549810508972,0.27486340584486874,0.328,0.254,0.396,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,current_question_refresh_reset,500,-0.1951342823137165,-0.22765701717443293,-0.16481101569071785,,,,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,option_relabel_no_shuffle_reset,500,-0.17246332562628242,-0.2044661043729339,-0.14370266267400214,,,,2000,12345
qwen25_7b,Qwen2.5-7B,mmlu_pro,option_relabel_shuffle_reset,500,0.023916011528350593,-0.020338805264483516,0.06431822309155763,0.406,0.348,0.464,2000,12345
